"id","plate","name"
1,"34",İstanbul
2,"06",Ankara
3,"35",İzmir
4,"16",Bursa
5,"07",Antalya
6,"01",Adana
7,"02",Adıyaman
8,"03",Afyonkarahisar
9,"04",Ağrı
10,"68",Aksaray
11,"05",Amasya
12,"75",Ardahan
13,"08",Artvin
14,"09",Aydın
15,"10",Balıkesir
16,"74",Bartın
17,"72",Batman
18,"69",Bayburt
19,"11",Bilecik
20,"12",Bingöl
21,"13",Bitlis
22,"14",Bolu
23,"15",Burdur
24,"17",Çanakkale
25,"18",Çankırı
26,"19",Çorum
27,"20",Denizli
28,"21",Diyarbakır
29,"81",Düzce
30,"22",Edirne
31,"23",Elazığ
32,"24",Erzincan
33,"25",Erzurum
34,"26",Eskişehir
35,"27",Gaziantep
36,"28",Giresun
37,"29",Gümüşhane
38,"30",Hakkari
39,"31",Hatay
40,"76",Iğdır
41,"32",Isparta
42,"46",Kahramanmaraş
43,"78",Karabük
44,"70",Karaman
45,"36",Kars
46,"37",Kastamonu
47,"38",Kayseri
48,"79",Kilis
49,"71",Kırıkkale
50,"39",Kırklareli
51,"40",Kırşehir
52,"41",Kocaeli
53,"42",Konya
54,"43",Kütahya
55,"44",Malatya
56,"45",Manisa
57,"47",Mardin
58,"33",Mersin
59,"48",Muğla
60,"49",Muş
61,"50",Nevşehir
62,"51",Niğde
63,"52",Ordu
64,"80",Osmaniye
65,"53",Rize
66,"54",Sakarya
67,"55",Samsun
68,"63",Şanlıurfa
69,"56",Siirt
70,"57",Sinop
71,"73",Şırnak
72,"58",Sivas
73,"59",Tekirdağ
74,"60",Tokat
75,"61",Trabzon
76,"62",Tunceli
77,"64",Uşak
78,"65",Van
79,"77",Yalova
80,"66",Yozgat
81,"67",Zonguldak
